Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_CLTH,PT,2025-03-26T00:00:00,2023,12.30147
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.1094
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.09873
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.09539
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.08607
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.08787
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.08814
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.08799
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.12456
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.12527
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.12447
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.12611
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.11861
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.11907
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.11908
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.11913
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_IND,PT,2025-03-26T00:00:00,2023,0.11934
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,8.05307
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,7.11317
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.76399
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.76324
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.75846
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.82222
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.75795
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.77302
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.75831
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.62429
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.75836
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.38606
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.34706
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.34938
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.34787
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_TXT,PT,2025-03-26T00:00:00,2023,6.34786
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,72,None,PT,2025-03-26T00:00:00,2023,2.24806
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,72,None,PT,2025-03-26T00:00:00,2023,1.76726
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,72,None,PT,2025-03-26T00:00:00,2023,0.91678
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DPRF,72,None,PT,2025-03-26T00:00:00,2023,0.91894
