Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2023,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,23.7
2024,A,0,37.7,13.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,M,Y0T4,PT,2025-03-27T00:00:00,2024,23.5
2000,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,64.0
2001,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,64.5
2002,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,65.3
2003,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,66.0
2004,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,66.4
2005,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,67.1
2006,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,67.4
2007,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,67.5
2008,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,68.1
2009,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,68.3
2010,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,67.9
2011,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,67.4
2012,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,66.3
2013,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,64.1
2014,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,62.9
2015,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,61.9
2016,A,3,101.5,35.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,72,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,61.4
