Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.06311
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.08664
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,0.98758
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,0.89845
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,0.88047
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.01166
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.09751
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.01473
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.07718
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.0714
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.1297
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.14398
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.00624
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.09606
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.13632
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.18867
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.1894
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.13451
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.13016
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.1226
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF121,T,2025-03-21T00:00:00,2023,,1.09441
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.52262
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.5248
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.52253
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.51636
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.51378
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.49978
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.50874
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.50684
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.50452
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.50376
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.50164
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.49968
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.49756
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.49565
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.49352
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.49136
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.48915
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.48704
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.48498
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.48316
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.48166
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.4743
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.46841
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF122,T,2025-03-21T00:00:00,2023,,0.4502
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.61161
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.59836
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.58658
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.5707
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.55041
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.53548
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.53207
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF13,T,2025-03-21T00:00:00,2023,,0.51298
