Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,21.96
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,22.91
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,24.72
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,24.04
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,24.91
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,36.87
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,48.47
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,54.55
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,52.85
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,52.69
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,22.63
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,25.15
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,25.42
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,25.44
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,25.68
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,19.15
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,20.84
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,21.58
