Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y0T14,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,0.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,30.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,3.0
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,16.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_GSPUR,PT,2025-03-14T00:00:00,2014,0.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,15.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2014,28.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,31.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,50.4
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2014,8.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_ICTPST,PT,2025-03-14T00:00:00,2014,16.0
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,30.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_INTBNK,PT,2025-03-14T00:00:00,2014,2.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2014,1.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,55.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y15T24,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,5.1
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2014,28.0
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2014,3.6
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_GSINF,PT,2025-03-14T00:00:00,2014,17.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_GSPUR,PT,2025-03-14T00:00:00,2014,5.4
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2014,17.0
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2014,26.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2014,23.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2014,32.4
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2014,6.5
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_ICTPST,PT,2025-03-14T00:00:00,2014,18.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2014,21.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_INTBNK,PT,2025-03-14T00:00:00,2014,5.8
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2014,2.9
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_SNTWK,PT,2025-03-14T00:00:00,2014,29.3
2014,A,0,Statistics Botswana,SE_ADT_ACTS,72,M,Y25T74,SKILL_VOIP,PT,2025-03-14T00:00:00,2014,5.6
