Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,6.99311
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_LOW,PT,2023-03-08T00:00:00,2021,82.54718
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_LOW,PT,2023-03-08T00:00:00,2021,71.10345
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_LOW,PT,2023-03-08T00:00:00,2021,57.2602
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_LOW,PT,2023-03-08T00:00:00,2021,53.9297
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_LOW,PT,2023-03-08T00:00:00,2021,71.56786
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_MEDIUM,PT,2023-03-08T00:00:00,2021,5.29479
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_MEDIUM,PT,2023-03-08T00:00:00,2021,8.3082
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_MEDIUM,PT,2023-03-08T00:00:00,2021,10.22839
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_MEDIUM,PT,2023-03-08T00:00:00,2021,9.72009
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRB,204,DL_MEDIUM,PT,2023-03-08T00:00:00,2021,7.75008
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,3.93403
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,1.01747
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,1.06882
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,1.38109
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_EXTREME,PT,2023-03-08T00:00:00,2021,1.30487
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,3.03348
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,2.20568
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,1.75951
2020,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,2.53816
2021,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_HIGH,PT,2023-03-08T00:00:00,2021,2.27376
2017,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_LOW,PT,2023-03-08T00:00:00,2021,87.22785
2018,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_LOW,PT,2023-03-08T00:00:00,2021,89.41341
2019,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKW_QLTRST,204,DL_LOW,PT,2023-03-08T00:00:00,2021,90.69394
