Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,20.3
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,21.5
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,21.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,21.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,20.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SHR,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,20.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_SNV,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.2
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.0
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.2
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TBL,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,0.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,224.8
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,223.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,223.7
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,223.8
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,224.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,C04,LC_TRE,KM2,2025-03-21T00:00:00,2021,Remaining mountain area,224.7
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCVI,72,None,LC_ART,PT,2025-03-21T00:00:00,2021,,3.46
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCVI,72,None,LC_ART,PT,2025-03-21T00:00:00,2021,,3.87
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCVI,72,None,LC_ART,PT,2025-03-21T00:00:00,2021,,4.1
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCVI,72,None,LC_ART,PT,2025-03-21T00:00:00,2021,,4.47
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCVI,72,None,LC_ART,PT,2025-03-21T00:00:00,2021,,4.61
