Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,12.4
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,11.8
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,10.9
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,10.5
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,10.0
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.1
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,8.0
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.1
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.0
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.3
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.2
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.5
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.2
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,31.0
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,28.0
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,24.8
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,22.6
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,20.2
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,18.3
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,16.5
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,15.6
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,14.6
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,13.7
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,13.1
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,13.2
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,12.4
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,11.5
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,11.0
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,10.4
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.4
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,8.2
